stop_id,stop_code,stop_name,stop_lat,stop_lon
4344,01,CZARNÓW,52.05657495,21.097867
4345,02,CZARNÓW,52.05561322,21.09708574
4346,01,STAREGO DĘBU,52.06113334,21.09874168
4347,02,STAREGO DĘBU,52.06024214,21.09870912
4351,02,CEDROWA,52.07079014,21.09943782
4357,02,OBORY,52.08144472,21.1465847
4366,01,ŻWIROWA,52.05885729,21.16582043
4367,02,ŻWIROWA,52.05905011,21.1671295
4374,01,SŁOMCZYN-SZKOŁA,52.06090822,21.1536959
4375,02,SŁOMCZYN-SZKOŁA,52.06146497,21.15310956
4378,01,KAWĘCZYNEK II,52.04742789,21.14907569
4387,02,ZGK,52.07236806,21.11689447
4388,01,ZGK,52.07295438,21.11701089
4399,01,KAWĘCZYN II,52.03856127,21.17658862
4400,02,KAWĘCZYN II,52.03925167,21.17647042
4413,02,WOLSKA,52.412382,20.960108
4421,03,RYBNA,52.04931,20.93357
4429,03,HALA SPORTOWA BEMOWO,52.25775349,20.93314841
4431,01,FORT BEMA,52.25932299,20.93664584
4432,02,OGRODY DZIAŁKOWE PIASKI,52.26083121,20.93972173
4433,01,OGRODY DZIAŁKOWE PIASKI,52.26123358,20.9406368
4438,03,CZŁUCHOWSKA,52.22754848,20.89787933
4442,02,DZIERŻONIOWSKA,52.30883499,20.92788819
4456,01,PRZEMYSŁOWA,52.43062761,21.15534116
4457,01,ŁĄKI,52.4410321,21.13999651
4468,01,SOBIESKIEGO,52.40522595,21.11658063
4472,02,EKOLOGICZNA,52.39954573,21.13450773
4473,01,EKOLOGICZNA,52.39907961,21.13559996
4494,04,DWORCOWA,52.43877145,20.77573792
4501,02,ZDOBYWCÓW KOSMOSU,52.4308321,20.72025609
4502,01,ZDOBYWCÓW KOSMOSU,52.43092983,20.72103902
4513,02,PĘCZKOWSKIEGO,52.4099551,21.05744333
4514,01,PĘCZKOWSKIEGO,52.4086494,21.05783292
4522,01,AKACJOWA,52.39366985,21.0054949
4523,02,AKACJOWA,52.39358755,21.00556734
4530,01,WOLSKA III,52.40704015,20.97831096
4531,02,WOLSKA III,52.4071071,20.97794448
4534,01,WIŚNIOWA,52.4108713,20.96344972
4535,02,WIŚNIOWA,52.41039849,20.9650686
4544,02,ŚWIDERSKA,52.31065624,20.9604698
4550,01,ZAJEZDNIA ŻOLIBORZ,52.29793527,20.93482176
4554,01,BADYLARSKA,52.17714874,20.9107395
4566,01,ŁOMIANKI-CENTRUM,52.34016382,20.88916869
4568,02,ŁOMIANKI-CENTRUM,52.33972765,20.8908913
4577,02,WIERZBOWA,52.28866744,20.86703484
4578,02,WIECHY,52.12788836,21.13848591
4582,04,BORKÓW,52.19024236,21.14128784
4590,03,WIEJSKA,52.30780939,21.09153216
4594,02,ZAUŁEK-SZKOŁA,52.32795992,21.06552889
