route_short_name,route_desc
507,GOCŁAW - BORA-KOMOROWSKIEGO - EGIPSKA - SASKA - AL. PONIATOWSKIEGO - AL. JEROZOLIMSKIE - EMILII PLATER - DW. CENTRALNY|DW. CENTRALNY - AL. JEROZOLIMSKIE - AL. PONIATOWSKIEGO - SASKA - BORA-KOMOROWSKIEGO - GOCŁAW
509,WINNICA - DIONIZOSA - ŚWIATOWIDA - MODLIŃSKA - JAGIELLOŃSKA - TARGOWA - AL. ZIELENIECKA - SASKA - BORA-KOMOROWSKIEGO - FIELDORFA „NILA” - UMIŃSKIEGO - BORA-KOMOROWSKIEGO - GOCŁAW|GOCŁAW - UMIŃSKIEGO - FIELDORFA „NILA” - BORA-KOMOROWSKIEGO - EGIPSKA - SASKA - AL. ZIELENIECKA - TARGOWA - AL. „SOLIDARNOŚCI” - JAGIELLOŃSKA - MODLIŃSKA - ŚWIATOWIDA - DIONIZOSA - WINNICA
511,METRO MŁOCINY - KASPROWICZA - AL. GEN. WITTEK - MODLIŃSKA - MEHOFFERA - MODLIŃSKA - ALUZYJNA - DĄBRÓWKA WIŚLANA|DĄBRÓWKA WIŚLANA - MODLIŃSKA - PŁK. KUKLIŃSKIEGO - KASPROWICZA - METRO MŁOCINY
512,DW. WSCHODNI (KIJOWSKA) - KIJOWSKA - AL. „SOLIDARNOŚCI” - RADZYMIŃSKA - MŁODZIEŃCZA - CODZIENNA - ROLANDA - GILARSKA - GILARSKA|GILARSKA - ROLANDA - CODZIENNA - MŁODZIEŃCZA - RADZYMIŃSKA - TARGOWA - KIJOWSKA - DW. WSCHODNI (KIJOWSKA)
514,WOLA GRZYBOWSKA - ŻÓŁKIEWSKIEGO - ARMII KRAJOWEJ - NIEMCEWICZA - WSPÓLNA - SZOSOWA - GRZYBOWA - AL. KOMANDOSÓW - ILSKIEGO - MARSA - OSTROBRAMSKA - AL. STANÓW ZJEDNOCZONYCH - AL. ARMII LUDOWEJ - WARYŃSKIEGO - METRO POLITECHNIKA|METRO POLITECHNIKA - PL. KONSTYTUCJI - WARYŃSKIEGO - AL. ARMII LUDOWEJ - AL. STANÓW ZJEDNOCZONYCH - OSTROBRAMSKA - MARSA - ILSKIEGO - AL. KOMANDOSÓW - GRZYBOWA - SZOSOWA - WSPÓLNA - NIEMCEWICZA - 1. PRASKIEGO PUŁKU WP - ARMII KRAJOWEJ - ŻÓŁKIEWSKIEGO - WOLA GRZYBOWSKA
516,ŻERAŃ FSO - MODLIŃSKA - ŚWIATOWIDA - MILENIJNA - ĆMIELOWSKA - ŚWIDERSKA - ODKRYTA - DZIERZGOŃSKA - ŚWIATOWIDA - NOWODWORY|NOWODWORY - DZIERZGOŃSKA - ODKRYTA - NOWODWORSKA - ŚWIDERSKA - ĆMIELOWSKA - MILENIJNA - MODLIŃSKA - ŻERAŃ FSO
517,PL. TRZECH KRZYŻY - PL. TRZECH KRZYŻY - AL. JEROZOLIMSKIE - GRÓJECKA - SOKOŁOWSKIEGO „GRZYMAŁY” - AL. JEROZOLIMSKIE - ŁOPUSZAŃSKA - KLESZCZOWA - RYŻOWA - DZIECI WARSZAWY - SŁAWKA - PUŻAKA - KOMPANII AK „KORDIAN” - SPISAKA - KOŚCIUSZKI - WŁADYSŁAWA JAGIEŁŁY - WARSZAWSKA - KENIGA - ORLĄT LWOWSKICH - URSUS-NIEDŹWIADEK|URSUS-NIEDŹWIADEK - KENIGA - WARSZAWSKA - LALKI - KOŚCIUSZKI - KOMPANII AK „KORDIAN” - PUŻAKA - SŁAWKA - DZIECI WARSZAWY - RYŻOWA - KLESZCZOWA - ŁOPUSZAŃSKA - AL. JEROZOLIMSKIE - KOPIŃSKA - GRÓJECKA - AL. JEROZOLIMSKIE - PL. TRZECH KRZYŻY - PL. TRZECH KRZYŻY
518,BIELAŃSKA - BIELAŃSKA - MIODOWA - PL. KRASIŃSKICH - MURANOWSKA - ANDERSA - MICKIEWICZA - SŁOWACKIEGO - WŁOŚCIAŃSKA - AL. ARMII KRAJOWEJ - MODLIŃSKA - ŚWIATOWIDA - MYŚLIBORSKA - PORAJÓW - ŚWIDERSKA - ODKRYTA - HANKI ORDONÓWNY - ŚWIATOWIDA - NOWODWORY|NOWODWORY - HANKI ORDONÓWNY - ODKRYTA - NOWODWORSKA - ŚWIDERSKA - PORAJÓW - MYŚLIBORSKA - ŚWIATOWIDA - MODLIŃSKA - AL. ARMII KRAJOWEJ - SŁOWACKIEGO - PL. WILSONA - ANDERSA - BONIFRATERSKA - PL. KRASIŃSKICH - MIODOWA - SENATORSKA - PL. BANKOWY - BIELAŃSKA - BIELAŃSKA
519,POWSIN-PARK KULTURY - OPIEŃKI - PRZEKORNA - PRZYCZÓŁKOWA - AL. WILANOWSKA - METRO WILANOWSKA|METRO WILANOWSKA - PRZYCZÓŁKOWA - PRZEKORNA - OPIEŃKI - POWSIN-PARK KULTURY
520,MARYSIN - KORKOWA - STEPOWA - MARSA - OSTROBRAMSKA - AL. STANÓW ZJEDNOCZONYCH - AL. ARMII LUDOWEJ - WARYŃSKIEGO - PL. KONSTYTUCJI - AL. JEROZOLIMSKIE - JEZDNIA PŁN. DW. CENTRALNEGO - DW. CENTRALNY|DW. CENTRALNY - MARSZAŁKOWSKA - PL. KONSTYTUCJI - WARYŃSKIEGO - AL. ARMII LUDOWEJ - AL. STANÓW ZJEDNOCZONYCH - OSTROBRAMSKA - MARSA - OKULAROWA - STEPOWA - KORKOWA - MARYSIN
521,FALENICA - BYSŁAWSKA - PATRIOTÓW - WIDOCZNA - PŁOWIECKA - GROCHOWSKA - RONDO WIATRACZNA - AL. WASZYNGTONA - AL. PONIATOWSKIEGO - AL. JEROZOLIMSKIE - GRÓJECKA - OPACZEWSKA - DICKENSA - SZCZĘŚLIWICE|SZCZĘŚLIWICE - SZCZĘŚLIWICKA - BITWY WARSZAWSKIEJ 1920 R. - GRÓJECKA - AL. JEROZOLIMSKIE - AL. PONIATOWSKIEGO - AL. WASZYNGTONA - GROCHOWSKA - PŁOWIECKA - WIDOCZNA - PATRIOTÓW - PRZEWODOWA - PATRIOTÓW - BYSŁAWSKA - FALENICA
523,PKP OLSZYNKA GROCHOWSKA - CHŁOPICKIEGO - SZASERÓW - WIATRACZNA - AL. STANÓW ZJEDNOCZONYCH - AL. ARMII LUDOWEJ - WAWELSKA - KOPIŃSKA - SOKOŁOWSKIEGO „GRZYMAŁY” - AL. JEROZOLIMSKIE - AL. PRYMASA TYSIĄCLECIA - GÓRCZEWSKA - POWSTAŃCÓW ŚLĄSKICH - RADIOWA - KALISKIEGO - STARE BEMOWO|STARE BEMOWO - RADIOWA - POWSTAŃCÓW ŚLĄSKICH - GÓRCZEWSKA - AL. PRYMASA TYSIĄCLECIA - AL. JEROZOLIMSKIE - KOPIŃSKA - WAWELSKA - AL. ARMII LUDOWEJ - AL. STANÓW ZJEDNOCZONYCH - ZAKOLE - SZASERÓW - CHŁOPICKIEGO - PKP OLSZYNKA GROCHOWSKA
525,DW. CENTRALNY - JEZDNIA PŁN. DW. CENTRALNEGO - MARSZAŁKOWSKA - PL. KONSTYTUCJI - WARYŃSKIEGO - AL. ARMII LUDOWEJ - AL. STANÓW ZJEDNOCZONYCH - OSTROBRAMSKA - PŁOWIECKA - CZECHA - KAJKI - POŻARYSKIEGO - ŻEGAŃSKA - AL. DZIECI POLSKICH - MIĘDZYLESIE|MIĘDZYLESIE - ŻEGAŃSKA - POŻARYSKIEGO - KAJKI - CZECHA - PŁOWIECKA - OSTROBRAMSKA - AL. STANÓW ZJEDNOCZONYCH - AL. ARMII LUDOWEJ - WARYŃSKIEGO - PL. KONSTYTUCJI - AL. JEROZOLIMSKIE - JEZDNIA PŁN. DW. CENTRALNEGO - DW. CENTRALNY
527,METRO KONDRATOWICZA - KONDRATOWICZA - GŁĘBOCKA - SKARBKA Z GÓR - BERENSONA - SKOŚNA - GRODZISK|GRODZISK - BERENSONA - SKARBKA Z GÓR - GŁĘBOCKA - KONDRATOWICZA - METRO KONDRATOWICZA
409,CM. PÓŁNOCNY-BRAMA ZACH. - DZIEKANOWSKA - ESTRADY - WÓLCZYŃSKA - WÓYCICKIEGO - PUŁKOWA - AL. GEN. WITTEK - KASPROWICZA - CONRADA - KOCHANOWSKIEGO - RUDNICKIEGO - POWĄZKOWSKA - SŁOMIŃSKIEGO - STARZYŃSKIEGO - ŚW. WINCENTEGO - KONDRATOWICZA - CHODECKA - KRASNOBRODZKA - BRÓDNO-PODGRODZIE|BRÓDNO-PODGRODZIE - CHODECKA - KONDRATOWICZA - ŚW. WINCENTEGO - STARZYŃSKIEGO - SŁOMIŃSKIEGO - POWĄZKOWSKA - GEN. MACZKA - KOCHANOWSKIEGO - CONRADA - WÓLCZYŃSKA - AL. GEN. WITTEK - PUŁKOWA - WÓYCICKIEGO - WÓLCZYŃSKA - ESTRADY - DZIEKANOWSKA - CM. PÓŁNOCNY-BRAMA ZACH.
